name,datetime (utc timezone),fan_count
bnk48official.fond,2018-10-01 03:00:00,111336
bnk48official.ratah,2018-10-01 03:00:00,110405
bnk48official.june,2018-10-01 03:00:00,110238
bnk48official.mind,2018-10-01 03:00:00,106723
bnk48official.miori,2018-10-01 03:00:00,105211
bnk48official.korn,2018-10-01 03:00:00,104506
bnk48official.maysa,2018-10-01 03:00:00,98689
bnk48official.wee,2018-10-01 03:00:00,89409
bnk48official.nink,2018-10-01 03:00:00,84478
bnk48official.jaa,2018-10-01 03:00:00,84069
bnk48official.piam,2018-10-01 03:00:00,80688
bnk48official.jib,2018-10-01 03:00:00,79833
bnk48official.phukkhom,2018-10-01 03:00:00,76395
bnk48official.izutarina,2018-10-01 03:00:00,75659
bnk48official.new,2018-10-01 03:00:00,68460
bnk48official.bamboo,2018-10-01 03:00:00,66002
bnk48official.minmin,2018-10-01 03:00:00,58042
bnk48official.kate,2018-10-01 03:00:00,56889
bnk48official.cake,2018-10-01 03:00:00,56549
bnk48official.view,2018-10-01 03:00:00,51303
bnk48official.panda,2018-10-01 03:00:00,49654
bnk48official.gygee,2018-10-01 03:00:00,47974
pakwan.bnk48official,2018-10-01 03:00:00,47172
bnk48official.kheng,2018-10-01 03:00:00,45078
bnk48official.myyu,2018-10-01 03:00:00,43921
bnk48official.stang,2018-10-01 03:00:00,42670
bnk48official.oom,2018-10-01 03:00:00,41537
bnk48official.niky,2018-10-01 03:00:00,40907
bnk48official.maira,2018-10-01 03:00:00,40818
bnk48official.aom,2018-10-01 03:00:00,40288
bnk48official.faii,2018-10-01 03:00:00,39181
bnk48official.deenee,2018-10-01 03:00:00,30747
bnk48official.khamin,2018-10-01 03:00:00,28841
bnk48official.fifa,2018-10-01 03:00:00,26647
bnk48official.nine,2018-10-01 03:00:00,25838
bnk48official.cherprang,2018-10-01 02:00:00,548583
bnk48official.pun,2018-10-01 02:00:00,547170
bnk48official.orn,2018-10-01 02:00:00,346845
bnk48official.jennis,2018-10-01 02:00:00,274515
bnk48official.noey,2018-10-01 02:00:00,273567
bnk48official.mobile,2018-10-01 02:00:00,270746
bnk48official.music,2018-10-01 02:00:00,262136
bnk48official.kaimook,2018-10-01 02:00:00,247854
bnk48official.kaew,2018-10-01 02:00:00,216477
bnk48official.namneung,2018-10-01 02:00:00,176708
bnk48official.mewnich,2018-10-01 02:00:00,176155
bnk48official.tarwaan,2018-10-01 02:00:00,169456
bnk48official.pupe,2018-10-01 02:00:00,167607
bnk48official.satchan,2018-10-01 02:00:00,163512
bnk48official.natherine,2018-10-01 02:00:00,160218
bnk48official.jan,2018-10-01 02:00:00,151550
bnk48official.namsai,2018-10-01 02:00:00,134021
bnk48official.jane,2018-10-01 02:00:00,124131
bnk48official.fond,2018-10-01 02:00:00,111320
bnk48official.ratah,2018-10-01 02:00:00,110383
bnk48official.june,2018-10-01 02:00:00,110219
bnk48official.mind,2018-10-01 02:00:00,106706
bnk48official.miori,2018-10-01 02:00:00,105199
bnk48official.korn,2018-10-01 02:00:00,104492
bnk48official.maysa,2018-10-01 02:00:00,98680
bnk48official.wee,2018-10-01 02:00:00,89375
bnk48official.nink,2018-10-01 02:00:00,84471
bnk48official.jaa,2018-10-01 02:00:00,84058
bnk48official.piam,2018-10-01 02:00:00,80668
bnk48official.jib,2018-10-01 02:00:00,79824
bnk48official.phukkhom,2018-10-01 02:00:00,76362
bnk48official.izutarina,2018-10-01 02:00:00,75652
bnk48official.new,2018-10-01 02:00:00,68444
bnk48official.bamboo,2018-10-01 02:00:00,65994
bnk48official.minmin,2018-10-01 02:00:00,58028
bnk48official.kate,2018-10-01 02:00:00,56886
bnk48official.cake,2018-10-01 02:00:00,56538
bnk48official.view,2018-10-01 02:00:00,51288
bnk48official.panda,2018-10-01 02:00:00,49648
bnk48official.gygee,2018-10-01 02:00:00,47960
