name,datetime (utc timezone),fan_count
bnk48official.cherprang,2018-10-12 05:00:00,563741
bnk48official.pun,2018-10-12 05:00:00,557001
bnk48official.orn,2018-10-12 05:00:00,357570
bnk48official.jennis,2018-10-12 05:00:00,282037
bnk48official.noey,2018-10-12 05:00:00,280675
bnk48official.mobile,2018-10-12 05:00:00,277478
bnk48official.music,2018-10-12 05:00:00,272874
bnk48official.kaimook,2018-10-12 05:00:00,253517
bnk48official.kaew,2018-10-12 05:00:00,223227
bnk48official.mewnich,2018-10-12 05:00:00,184070
bnk48official.namneung,2018-10-12 05:00:00,183322
bnk48official.tarwaan,2018-10-12 05:00:00,174590
bnk48official.pupe,2018-10-12 05:00:00,174292
bnk48official.natherine,2018-10-12 05:00:00,170567
bnk48official.satchan,2018-10-12 05:00:00,168433
bnk48official.jan,2018-10-12 05:00:00,153164
bnk48official.namsai,2018-10-12 05:00:00,138582
bnk48official.jane,2018-10-12 05:00:00,131410
bnk48official.june,2018-10-12 05:00:00,119185
bnk48official.fond,2018-10-12 05:00:00,117873
bnk48official.ratah,2018-10-12 05:00:00,116460
bnk48official.mind,2018-10-12 05:00:00,111190
bnk48official.korn,2018-10-12 05:00:00,108175
bnk48official.miori,2018-10-12 05:00:00,107972
bnk48official.maysa,2018-10-12 05:00:00,101173
bnk48official.wee,2018-10-12 05:00:00,96268
bnk48official.phukkhom,2018-10-12 05:00:00,91208
bnk48official.nink,2018-10-12 05:00:00,86926
bnk48official.jaa,2018-10-12 05:00:00,86886
bnk48official.piam,2018-10-12 05:00:00,83262
bnk48official.jib,2018-10-12 05:00:00,82127
bnk48official.izutarina,2018-10-12 05:00:00,77565
bnk48official.new,2018-10-12 05:00:00,74750
bnk48official.bamboo,2018-10-12 05:00:00,70724
bnk48official.minmin,2018-10-12 05:00:00,63725
bnk48official.cake,2018-10-12 05:00:00,60890
bnk48official.kate,2018-10-12 05:00:00,58314
bnk48official.view,2018-10-12 05:00:00,56653
bnk48official.gygee,2018-10-12 05:00:00,54224
bnk48official.panda,2018-10-12 05:00:00,53248
pakwan.bnk48official,2018-10-12 05:00:00,50250
bnk48official.kheng,2018-10-12 05:00:00,48466
bnk48official.myyu,2018-10-12 05:00:00,48266
bnk48official.maira,2018-10-12 05:00:00,45944
bnk48official.niky,2018-10-12 05:00:00,45840
bnk48official.oom,2018-10-12 05:00:00,45829
bnk48official.aom,2018-10-12 05:00:00,45529
bnk48official.stang,2018-10-12 05:00:00,45250
bnk48official.faii,2018-10-12 05:00:00,43750
bnk48official.deenee,2018-10-12 05:00:00,33097
bnk48official.khamin,2018-10-12 05:00:00,31984
bnk48official.nine,2018-10-12 05:00:00,31675
bnk48official.fifa,2018-10-12 05:00:00,28962
bnk48official.cherprang,2018-10-12 04:00:00,563672
bnk48official.pun,2018-10-12 04:00:00,556952
bnk48official.orn,2018-10-12 04:00:00,357527
bnk48official.jennis,2018-10-12 04:00:00,282006
bnk48official.noey,2018-10-12 04:00:00,280646
bnk48official.mobile,2018-10-12 04:00:00,277448
bnk48official.music,2018-10-12 04:00:00,272834
bnk48official.kaimook,2018-10-12 04:00:00,253496
bnk48official.kaew,2018-10-12 04:00:00,223177
bnk48official.mewnich,2018-10-12 04:00:00,184018
bnk48official.namneung,2018-10-12 04:00:00,183296
bnk48official.tarwaan,2018-10-12 04:00:00,174574
bnk48official.pupe,2018-10-12 04:00:00,174262
bnk48official.natherine,2018-10-12 04:00:00,170542
bnk48official.satchan,2018-10-12 04:00:00,168415
bnk48official.jan,2018-10-12 04:00:00,153154
bnk48official.namsai,2018-10-12 04:00:00,138563
bnk48official.jane,2018-10-12 04:00:00,131371
bnk48official.june,2018-10-12 04:00:00,119117
bnk48official.fond,2018-10-12 04:00:00,117787
bnk48official.ratah,2018-10-12 04:00:00,116444
bnk48official.mind,2018-10-12 04:00:00,111178
bnk48official.korn,2018-10-12 04:00:00,108167
bnk48official.miori,2018-10-12 04:00:00,107963
bnk48official.maysa,2018-10-12 04:00:00,101161
bnk48official.wee,2018-10-12 04:00:00,96227
bnk48official.phukkhom,2018-10-12 04:00:00,91154
bnk48official.nink,2018-10-12 04:00:00,86919
bnk48official.jaa,2018-10-12 04:00:00,86874
bnk48official.piam,2018-10-12 04:00:00,83252
bnk48official.jib,2018-10-12 04:00:00,82122
bnk48official.izutarina,2018-10-12 04:00:00,77553
bnk48official.new,2018-10-12 04:00:00,74722
bnk48official.bamboo,2018-10-12 04:00:00,70701
bnk48official.minmin,2018-10-12 04:00:00,63709
bnk48official.cake,2018-10-12 04:00:00,60876
bnk48official.kate,2018-10-12 04:00:00,58311
bnk48official.view,2018-10-12 04:00:00,56623
bnk48official.gygee,2018-10-12 04:00:00,54194
bnk48official.panda,2018-10-12 04:00:00,53232
pakwan.bnk48official,2018-10-12 04:00:00,50232
bnk48official.kheng,2018-10-12 04:00:00,48449
bnk48official.myyu,2018-10-12 04:00:00,48247
bnk48official.maira,2018-10-12 04:00:00,45920
bnk48official.niky,2018-10-12 04:00:00,45821
bnk48official.oom,2018-10-12 04:00:00,45814
bnk48official.aom,2018-10-12 04:00:00,45508
bnk48official.stang,2018-10-12 04:00:00,45241
bnk48official.faii,2018-10-12 04:00:00,43729
bnk48official.deenee,2018-10-12 04:00:00,33084
bnk48official.khamin,2018-10-12 04:00:00,31967
bnk48official.nine,2018-10-12 04:00:00,31661
bnk48official.fifa,2018-10-12 04:00:00,28950
bnk48official.cherprang,2018-10-12 03:00:00,563588
bnk48official.pun,2018-10-12 03:00:00,556902
bnk48official.orn,2018-10-12 03:00:00,357491
bnk48official.jennis,2018-10-12 03:00:00,281973
bnk48official.noey,2018-10-12 03:00:00,280617
bnk48official.mobile,2018-10-12 03:00:00,277417
bnk48official.music,2018-10-12 03:00:00,272795
bnk48official.kaimook,2018-10-12 03:00:00,253471
bnk48official.kaew,2018-10-12 03:00:00,223135
bnk48official.mewnich,2018-10-12 03:00:00,183955
bnk48official.namneung,2018-10-12 03:00:00,183271
bnk48official.tarwaan,2018-10-12 03:00:00,174545
bnk48official.pupe,2018-10-12 03:00:00,174226
bnk48official.natherine,2018-10-12 03:00:00,170514
bnk48official.satchan,2018-10-12 03:00:00,168396
