name,datetime (utc timezone),followed
pun.bnk48official,2018-10-12 05:00:00,739305
cherprang.bnk48official,2018-10-12 05:00:00,582052
orn.bnk48official,2018-10-12 05:00:00,530342
jennis.bnk48official,2018-10-12 05:00:00,474862
mobile.bnk48official,2018-10-12 05:00:00,471268
music.bnk48official,2018-10-12 05:00:00,447607
noey.bnk48office,2018-10-12 05:00:00,421129
kaimook.bnk48official,2018-10-12 05:00:00,393922
kaew.bnk48official,2018-10-12 05:00:00,358407
jane.bnk48official,2018-10-12 05:00:00,344033
tarwaan.bnk48office,2018-10-12 05:00:00,316482
namneung.bnk48official,2018-10-12 05:00:00,315743
mewnich.bnk48official,2018-10-12 05:00:00,313912
pupe.bnk48official,2018-10-12 05:00:00,302240
satchan.bnk48official,2018-10-12 05:00:00,301055
june.bnk48office,2018-10-12 05:00:00,293316
namsai.bnk48official,2018-10-12 05:00:00,283643
miori.bnk48official,2018-10-12 05:00:00,256572
fond.bnk48office,2018-10-12 05:00:00,249378
jaa.bnk48official,2018-10-12 05:00:00,239030
rinaizuta.bnk48official,2018-10-12 05:00:00,236750
maysa.bnk48official,2018-10-12 05:00:00,228908
mind.bnk48official,2018-10-12 05:00:00,227664
ratah.bnk48official,2018-10-12 05:00:00,224419
korn.bnk48official,2018-10-12 05:00:00,221577
wee.bnk48official,2018-10-12 05:00:00,205911
nink.bnk48official,2018-10-12 05:00:00,205570
kate.bnk48official,2018-10-12 05:00:00,196255
jib.bnk48office,2018-10-12 05:00:00,189218
piam.bnk48office,2018-10-12 05:00:00,182745
phukkhom.bnk48office,2018-10-12 05:00:00,176691
bamboo.bnk48office,2018-10-12 05:00:00,174855
myyu.bnk48official,2018-10-12 05:00:00,164349
new.bnk48official,2018-10-12 05:00:00,161924
cake.bnk48official,2018-10-12 05:00:00,159142
view.bnk48official,2018-10-12 05:00:00,150485
minmin.bnk48office,2018-10-12 05:00:00,147583
natherine.bnk48official,2018-10-12 05:00:00,147536
gygee.bnk48official,2018-10-12 05:00:00,146068
aom.bnk48official,2018-10-12 05:00:00,145053
niky.bnk48office,2018-10-12 05:00:00,142386
kheng.bnk48official,2018-10-12 05:00:00,141169
pakwan.bnk48office,2018-10-12 05:00:00,139412
panda.bnk48official,2018-10-12 05:00:00,133588
khamin.bnk48official,2018-10-12 05:00:00,130627
faii.bnk48official,2018-10-12 05:00:00,129922
stang.bnk48office,2018-10-12 05:00:00,128602
deenee.bnk48official,2018-10-12 05:00:00,125157
oom.bnk48official,2018-10-12 05:00:00,123315
maira.bnk48official,2018-10-12 05:00:00,119986
fifa.bnk48official,2018-10-12 05:00:00,116127
nine.bnk48official,2018-10-12 05:00:00,105232
pun.bnk48official,2018-10-12 04:00:00,739185
cherprang.bnk48official,2018-10-12 04:00:00,581935
orn.bnk48official,2018-10-12 04:00:00,530242
jennis.bnk48official,2018-10-12 04:00:00,474767
mobile.bnk48official,2018-10-12 04:00:00,471171
music.bnk48official,2018-10-12 04:00:00,447527
noey.bnk48office,2018-10-12 04:00:00,421041
kaimook.bnk48official,2018-10-12 04:00:00,393834
kaew.bnk48official,2018-10-12 04:00:00,358334
jane.bnk48official,2018-10-12 04:00:00,343925
tarwaan.bnk48office,2018-10-12 04:00:00,316423
namneung.bnk48official,2018-10-12 04:00:00,315686
mewnich.bnk48official,2018-10-12 04:00:00,313823
pupe.bnk48official,2018-10-12 04:00:00,302171
satchan.bnk48official,2018-10-12 04:00:00,300973
june.bnk48office,2018-10-12 04:00:00,293217
namsai.bnk48official,2018-10-12 04:00:00,283599
miori.bnk48official,2018-10-12 04:00:00,256521
fond.bnk48office,2018-10-12 04:00:00,249301
jaa.bnk48official,2018-10-12 04:00:00,238970
rinaizuta.bnk48official,2018-10-12 04:00:00,236708
maysa.bnk48official,2018-10-12 04:00:00,228864
mind.bnk48official,2018-10-12 04:00:00,227606
ratah.bnk48official,2018-10-12 04:00:00,224329
korn.bnk48official,2018-10-12 04:00:00,221528
wee.bnk48official,2018-10-12 04:00:00,205840
nink.bnk48official,2018-10-12 04:00:00,205492
kate.bnk48official,2018-10-12 04:00:00,196208
jib.bnk48office,2018-10-12 04:00:00,189164
piam.bnk48office,2018-10-12 04:00:00,182702
phukkhom.bnk48office,2018-10-12 04:00:00,176582
bamboo.bnk48office,2018-10-12 04:00:00,174778
myyu.bnk48official,2018-10-12 04:00:00,164276
new.bnk48official,2018-10-12 04:00:00,161851
cake.bnk48official,2018-10-12 04:00:00,159073
view.bnk48official,2018-10-12 04:00:00,150412
minmin.bnk48office,2018-10-12 04:00:00,147505
natherine.bnk48official,2018-10-12 04:00:00,147456
gygee.bnk48official,2018-10-12 04:00:00,145999
aom.bnk48official,2018-10-12 04:00:00,144982
niky.bnk48office,2018-10-12 04:00:00,142322
kheng.bnk48official,2018-10-12 04:00:00,141108
pakwan.bnk48office,2018-10-12 04:00:00,139350
panda.bnk48official,2018-10-12 04:00:00,133530
khamin.bnk48official,2018-10-12 04:00:00,130571
faii.bnk48official,2018-10-12 04:00:00,129855
stang.bnk48office,2018-10-12 04:00:00,128542
deenee.bnk48official,2018-10-12 04:00:00,125099
oom.bnk48official,2018-10-12 04:00:00,123245
maira.bnk48official,2018-10-12 04:00:00,119915
fifa.bnk48official,2018-10-12 04:00:00,116067
nine.bnk48official,2018-10-12 04:00:00,105176
pun.bnk48official,2018-10-12 03:00:00,739045
cherprang.bnk48official,2018-10-12 03:00:00,581796
orn.bnk48official,2018-10-12 03:00:00,530111
jennis.bnk48official,2018-10-12 03:00:00,474651
mobile.bnk48official,2018-10-12 03:00:00,471045
music.bnk48official,2018-10-12 03:00:00,447454
noey.bnk48office,2018-10-12 03:00:00,420930
