name,datetime (utc timezone),followed
mobile.bnk48official,2018-10-01 03:00:00,449240
music.bnk48official,2018-10-01 03:00:00,432961
noey.bnk48office,2018-10-01 03:00:00,399929
kaimook.bnk48official,2018-10-01 03:00:00,376091
kaew.bnk48official,2018-10-01 03:00:00,343557
jane.bnk48official,2018-10-01 03:00:00,320811
tarwaan.bnk48office,2018-10-01 03:00:00,305378
namneung.bnk48official,2018-10-01 03:00:00,298311
mewnich.bnk48official,2018-10-01 03:00:00,293105
satchan.bnk48official,2018-10-01 03:00:00,289910
pupe.bnk48official,2018-10-01 03:00:00,288426
namsai.bnk48official,2018-10-01 03:00:00,271402
june.bnk48office,2018-10-01 03:00:00,270290
miori.bnk48official,2018-10-01 03:00:00,244705
fond.bnk48office,2018-10-01 03:00:00,233513
jaa.bnk48official,2018-10-01 03:00:00,228379
rinaizuta.bnk48official,2018-10-01 03:00:00,225507
maysa.bnk48official,2018-10-01 03:00:00,218936
mind.bnk48official,2018-10-01 03:00:00,217860
korn.bnk48official,2018-10-01 03:00:00,210315
ratah.bnk48official,2018-10-01 03:00:00,205553
nink.bnk48official,2018-10-01 03:00:00,196515
wee.bnk48official,2018-10-01 03:00:00,191678
kate.bnk48official,2018-10-01 03:00:00,186097
jib.bnk48office,2018-10-01 03:00:00,179794
piam.bnk48office,2018-10-01 03:00:00,175752
bamboo.bnk48office,2018-10-01 03:00:00,161337
phukkhom.bnk48office,2018-10-01 03:00:00,156384
myyu.bnk48official,2018-10-01 03:00:00,150038
cake.bnk48official,2018-10-01 03:00:00,147199
new.bnk48official,2018-10-01 03:00:00,145307
view.bnk48official,2018-10-01 03:00:00,136895
natherine.bnk48official,2018-10-01 03:00:00,132693
minmin.bnk48office,2018-10-01 03:00:00,131304
aom.bnk48official,2018-10-01 03:00:00,131075
gygee.bnk48official,2018-10-01 03:00:00,130454
niky.bnk48office,2018-10-01 03:00:00,129973
pakwan.bnk48office,2018-10-01 03:00:00,129105
kheng.bnk48official,2018-10-01 03:00:00,129090
panda.bnk48official,2018-10-01 03:00:00,122870
khamin.bnk48official,2018-10-01 03:00:00,119929
stang.bnk48office,2018-10-01 03:00:00,118544
faii.bnk48official,2018-10-01 03:00:00,116993
deenee.bnk48official,2018-10-01 03:00:00,115423
oom.bnk48official,2018-10-01 03:00:00,113041
maira.bnk48official,2018-10-01 03:00:00,109852
fifa.bnk48official,2018-10-01 03:00:00,107034
