band,name,title,video_id,comment,dislike,like,view
TPE48,Shih-Ya Chen,TPE48  陳 詩雅 (SHIH-YA CHEN / チェン シーヤー),ZZ6kBIs6DSU,,,,12739
TPE48,Shih-Yuan Chen,TPE48  陳 詩媛 (SHIH-YUAN CHEN / チェン シーユエン),JPNvnqGCVo4,,,,5754
TPE48,Yuzuka Honda,TPE48  本田 柚萱 (YUZUKA HONDA / ホンダ ユズカ),OsUbHP0VbPU,,,,7303
TPE48,Pin-Han Chiu,TPE48  邱 品涵 (PIN-HAN CHIU / チウ ピンハン),CAe8LofQSt4,,,,5311
TPE48,Tik Kei Sin,TPE48  冼 迪琦 (TIK KEI SIN / シェー ディーチー),RLcU1X4BV6c,,,,7646
BNK48,Cherprang Areekul,BNK48 キャプテン [Captain]  CHERPRANG (CHERPRANG AREEKUL / チャープラン),Uk-uRg4JNfQ,,,,224756
BNK48,Rina Izuta,BNK48 Team BIII  IZURINA (伊豆田 莉奈 / イズリナ),jkTaeNGmFLM,,,,94965
BNK48,Napaphat Worraphuttanon,BNK48 Team BIII  JAA (NAPAPHAT WORRAPHUTTANON / ジャー),1IlNlUV1eMo,,,,31389
BNK48,Jennis Oprasert,BNK48 Team BIII 副キャプテン [Vice Captain]  JENNIS (JENNIS OPRASERT / ジェニス),Ps8iWW68ys4,,,,125951
BNK48,Warattaya Deesomlert,BNK48 Team BIII  KAIMOOK (WARATTAYA DEESOMLERT / カイムック),mELcHJ4BFpY,,,,90647
BNK48,Korapat Nilprapa,BNK48 Team BIII  KATE (KORAPAT NILPRAPA / ケート),XLWAiENfkoc,,,,42860
BNK48,Miori Ohkubo,BNK48 Team BIII  MIORI (大久保 美織 / ミオリ),Hf4o9u-Aby4,,,,82200
BNK48,Praewa Suthamphong,BNK48 Team BIII  MUSIC (PRAEWA SUTHAMPHONG / ミュージック),OTWBg_wO4G0,,,,163234
BNK48,Sawitchaya Kajonrungsilp,BNK48 Team BIII  SATCHAN (SAWITCHAYA KAJONRUNGSILP / サッチャン),jaYn1M4ZvK8,,,,100434
BNK48,Mananya Kaoju,BNK48 研究生 [Trainee]  NINK (MANANYA KAOJU / ニンク),QLgGqYuaQ-0,,,,42382
STU48,Chiho Ishida,STU48 石田 千穂 (CHIHO ISHIDA),CDUqC-FkBtA,,,,4834
STU48,Minami Ishida,STU48 石田 みなみ (MINAMI ISHIDA),zUqjT4iU3_A,,,,2788
STU48,Kanon Isogai,STU48 磯貝 花音 (KANON ISOGAI),dXa80CXqn48,,,,1854
STU48,Ayumi Ichioka,STU48 市岡 愛弓 (AYUMI ICHIOKA),5gSmV_8UTQ0,,,,3862
STU48,Mitsuki Imamura,STU48 今村 美月 (MITSUKI IMAMURA),IURoYpdyszQ,,,,1864
STU48,Hina Iwata,STU48 岩田 陽菜 (HINA IWATA),Rqtgmcs3wHs,,,,5118
STU48,Marina Otani,STU48 大谷 満理奈 (MARINA OTANI),y1DwKSQWxQ0,,,,2320
STU48,Kokoa Kai,STU48 甲斐 心愛 (KOKOA KAI),GkiKq7Qpk0A,,,,2716
STU48,Momona Kadota,STU48 門田 桃奈 (MOMONA KADOTA),ADAptf0knMw,,,,1273
STU48,Miyuna Kadowaki,STU48 門脇 実優菜 (MIYUNA KADOWAKI),8TMQcNaFSqw,,,,1696
