band,name,title,video_id,comment,dislike,like,view
TPE48,Shih-Ya Chen,TPE48  陳 詩雅 (SHIH-YA CHEN / チェン シーヤー),ZZ6kBIs6DSU,,,,21604
TPE48,Shih-Yuan Chen,TPE48  陳 詩媛 (SHIH-YUAN CHEN / チェン シーユエン),JPNvnqGCVo4,,,,11693
TPE48,Yuzuka Honda,TPE48  本田 柚萱 (YUZUKA HONDA / ホンダ ユズカ),OsUbHP0VbPU,,,,18160
TPE48,Pin-Han Chiu,TPE48  邱 品涵 (PIN-HAN CHIU / チウ ピンハン),CAe8LofQSt4,,,,9742
TPE48,Tik Kei Sin,TPE48  冼 迪琦 (TIK KEI SIN / シェー ディーチー),RLcU1X4BV6c,,,,21455
BNK48,Cherprang Areekul,BNK48 キャプテン [Captain]  CHERPRANG (CHERPRANG AREEKUL / チャープラン),Uk-uRg4JNfQ,,,,319439
BNK48,Rina Izuta,BNK48 Team BIII  IZURINA (伊豆田 莉奈 / イズリナ),jkTaeNGmFLM,,,,144380
BNK48,Napaphat Worraphuttanon,BNK48 Team BIII  JAA (NAPAPHAT WORRAPHUTTANON / ジャー),1IlNlUV1eMo,,,,43521
BNK48,Jennis Oprasert,BNK48 Team BIII 副キャプテン [Vice Captain]  JENNIS (JENNIS OPRASERT / ジェニス),Ps8iWW68ys4,,,,175073
BNK48,Warattaya Deesomlert,BNK48 Team BIII  KAIMOOK (WARATTAYA DEESOMLERT / カイムック),mELcHJ4BFpY,,,,120939
BNK48,Korapat Nilprapa,BNK48 Team BIII  KATE (KORAPAT NILPRAPA / ケート),XLWAiENfkoc,,,,60818
BNK48,Miori Ohkubo,BNK48 Team BIII  MIORI (大久保 美織 / ミオリ),Hf4o9u-Aby4,,,,113311
BNK48,Praewa Suthamphong,BNK48 Team BIII  MUSIC (PRAEWA SUTHAMPHONG / ミュージック),OTWBg_wO4G0,,,,240518
BNK48,Sawitchaya Kajonrungsilp,BNK48 Team BIII  SATCHAN (SAWITCHAYA KAJONRUNGSILP / サッチャン),jaYn1M4ZvK8,,,,141533
BNK48,Mananya Kaoju,BNK48 研究生 [Trainee]  NINK (MANANYA KAOJU / ニンク),QLgGqYuaQ-0,,,,55211
STU48,Chiho Ishida,STU48 石田 千穂 (CHIHO ISHIDA),CDUqC-FkBtA,,,,17314
STU48,Minami Ishida,STU48 石田 みなみ (MINAMI ISHIDA),zUqjT4iU3_A,,,,4867
STU48,Kanon Isogai,STU48 磯貝 花音 (KANON ISOGAI),dXa80CXqn48,,,,3355
STU48,Ayumi Ichioka,STU48 市岡 愛弓 (AYUMI ICHIOKA),5gSmV_8UTQ0,,,,6717
STU48,Mitsuki Imamura,STU48 今村 美月 (MITSUKI IMAMURA),IURoYpdyszQ,,,,3767
