band,name,title,video_id,comment,dislike,like,view
TPE48,Shih-Ya Chen,TPE48  陳 詩雅 (SHIH-YA CHEN / チェン シーヤー),ZZ6kBIs6DSU,,,,16998
TPE48,Shih-Yuan Chen,TPE48  陳 詩媛 (SHIH-YUAN CHEN / チェン シーユエン),JPNvnqGCVo4,,,,8780
TPE48,Yuzuka Honda,TPE48  本田 柚萱 (YUZUKA HONDA / ホンダ ユズカ),OsUbHP0VbPU,,,,10820
TPE48,Pin-Han Chiu,TPE48  邱 品涵 (PIN-HAN CHIU / チウ ピンハン),CAe8LofQSt4,,,,7730
TPE48,Tik Kei Sin,TPE48  冼 迪琦 (TIK KEI SIN / シェー ディーチー),RLcU1X4BV6c,,,,14086
BNK48,Cherprang Areekul,BNK48 キャプテン [Captain]  CHERPRANG (CHERPRANG AREEKUL / チャープラン),Uk-uRg4JNfQ,,,,277806
BNK48,Rina Izuta,BNK48 Team BIII  IZURINA (伊豆田 莉奈 / イズリナ),jkTaeNGmFLM,,,,120185
BNK48,Napaphat Worraphuttanon,BNK48 Team BIII  JAA (NAPAPHAT WORRAPHUTTANON / ジャー),1IlNlUV1eMo,,,,38412
BNK48,Jennis Oprasert,BNK48 Team BIII 副キャプテン [Vice Captain]  JENNIS (JENNIS OPRASERT / ジェニス),Ps8iWW68ys4,,,,155393
BNK48,Warattaya Deesomlert,BNK48 Team BIII  KAIMOOK (WARATTAYA DEESOMLERT / カイムック),mELcHJ4BFpY,,,,108094
BNK48,Korapat Nilprapa,BNK48 Team BIII  KATE (KORAPAT NILPRAPA / ケート),XLWAiENfkoc,,,,53078
BNK48,Miori Ohkubo,BNK48 Team BIII  MIORI (大久保 美織 / ミオリ),Hf4o9u-Aby4,,,,99078
BNK48,Praewa Suthamphong,BNK48 Team BIII  MUSIC (PRAEWA SUTHAMPHONG / ミュージック),OTWBg_wO4G0,,,,208993
BNK48,Sawitchaya Kajonrungsilp,BNK48 Team BIII  SATCHAN (SAWITCHAYA KAJONRUNGSILP / サッチャン),jaYn1M4ZvK8,,,,123384
BNK48,Mananya Kaoju,BNK48 研究生 [Trainee]  NINK (MANANYA KAOJU / ニンク),QLgGqYuaQ-0,,,,49638
STU48,Chiho Ishida,STU48 石田 千穂 (CHIHO ISHIDA),CDUqC-FkBtA,,,,11680
STU48,Minami Ishida,STU48 石田 みなみ (MINAMI ISHIDA),zUqjT4iU3_A,,,,3778
STU48,Kanon Isogai,STU48 磯貝 花音 (KANON ISOGAI),dXa80CXqn48,,,,2617
STU48,Ayumi Ichioka,STU48 市岡 愛弓 (AYUMI ICHIOKA),5gSmV_8UTQ0,,,,5190
STU48,Mitsuki Imamura,STU48 今村 美月 (MITSUKI IMAMURA),IURoYpdyszQ,,,,2938
STU48,Hina Iwata,STU48 岩田 陽菜 (HINA IWATA),Rqtgmcs3wHs,,,,7486
STU48,Marina Otani,STU48 大谷 満理奈 (MARINA OTANI),y1DwKSQWxQ0,,,,3271
STU48,Kokoa Kai,STU48 甲斐 心愛 (KOKOA KAI),GkiKq7Qpk0A,,,,3866
STU48,Momona Kadota,STU48 門田 桃奈 (MOMONA KADOTA),ADAptf0knMw,,,,1821
STU48,Miyuna Kadowaki,STU48 門脇 実優菜 (MIYUNA KADOWAKI),8TMQcNaFSqw,,,,2494
STU48,Miyu Sakaki,STU48 榊 美優 (MIYU SAKAKI),jgOmCT5vL-M,,,,3103
STU48,Haruka Sano,STU48 佐野 遥 (HARUKA SANO),Mkc3TmuW05Q,,,,1835
STU48,Hinako Shioi,STU48 塩井 日奈子 (HINAKO SHIOI),F45YIcRlCf8,,,,1580
STU48,Nonoka Shintani,STU48 新谷 野々花 (NONOKA SHINTANI),YZYmdH83V5E,,,,2246
STU48,Saki Sugahara,STU48 菅原 早記 (SAKI SUGAHARA),GG0g3vCnz9Q,,,,1467
STU48,Yumiko Takino,STU48 瀧野 由美子 (YUMIKO TAKINO),49tGyElQkdI,,,,22474
STU48,Kouko Tanaka,STU48 田中 皓子 (KOUKO TANAKA),L-APjQGkTpM,,,,3238
STU48,Mahina Taniguchi,STU48 谷口 茉妃菜 (MAHINA TANIGUCHI),o4s9QX0_E6A,,,,1321
STU48,Yuri Torobu,STU48 土路生 優里 (YURI TOROBU),Uan1_voWnl8,,,,3965
STU48,Aoi Hyodo,STU48 兵頭 葵 (AOI HYODO),cSaLlUg1D5o,,,,1552
